season,week,game_id,posteam,passer_player_name,passer_player_id,defteam,roof,is_home,l16_passing_yards,l16_yards_per_attempt,l16_attempts,l16_pass_td,l16_int,l16_wp,def16_passing_yards,def16_yards_per_attempt,def16_attempts,def16_pass_td,def16_int,def16_wp,pass_touchdown
2009,1,2009_01_PHI_CAR,CAR,J.Delhomme,32013030-2d30-3030-3431-36314534ade6,PHI,0,1,193.875,7.500283230986692,26.8125,0.9375,1.0625,0.5244199933149994,182.1875,5.157765542138081,35.625,1.25,1.0,0.41767948492103224,0.0
2009,1,2009_01_PHI_CAR,PHI,D.McNabb,32013030-2d30-3031-3130-3232b50875be,CAR,0,0,238.9375,6.237659472709006,38.125,1.4375,0.875,0.5385951269948209,212.1875,5.7029037612607185,37.5625,1.125,0.8125,0.4165233013311475,2.0
2009,1,2009_01_SD_OAK,LAC,P.Rivers,32013030-2d30-3032-3239-34322bc30020,LV,0,0,233.0625,7.3106403015842245,32.75,1.9375,0.75,0.4697919283996722,201.4375,6.681634330438985,31.5,1.25,1.0,0.5774443702164962,1.0
2009,1,2009_01_SD_OAK,LV,J.Russell,00-0025388,LAC,0,1,148.2,5.858549334999329,26.533333333333335,0.8666666666666667,0.5333333333333333,0.35810830527372123,240.3125,6.378692445364539,38.375,1.375,0.875,0.4666464977616181,1.0
2009,1,2009_01_SF_ARI,ARI,K.Warner,00-0017200,SF,1,1,274.9375,7.059623362232676,38.4375,2.0625,0.8125,0.5320574665674315,219.1875,6.167254265460818,36.0,1.375,0.75,0.5300632205784924,1.0
2009,1,2009_01_SF_ARI,SF,S.Hill,32013030-2d30-3032-3036-3739dd380a34,ARI,1,0,210.88888888888889,6.311731194311926,34.666666666666664,1.4444444444444444,0.8888888888888888,0.46365621863356615,231.0625,6.386036984628187,36.625,2.1875,1.25,0.41257013226309647,1.0
2009,1,2009_01_STL_SEA,LA,M.Bulger,00-0019599,SEA,0,0,164.26666666666668,4.819048410166831,32.0,0.7333333333333333,0.8666666666666667,0.34826337901414883,259.4375,6.951075540588848,37.625,1.5625,0.5625,0.5755693072400172,0.0
2009,1,2009_01_STL_SEA,SEA,M.Hasselbeck,32013030-2d30-3030-3730-39316c93ae22,LA,0,1,156.71428571428572,4.926015393290238,32.714285714285715,0.7142857142857143,1.4285714285714286,0.3722428742681353,217.0625,7.311313203800702,29.8125,1.25,0.75,0.619086762532634,3.0
2009,1,2009_01_TEN_PIT,PIT,B.Roethlisberger,32013030-2d30-3032-3239-3234f41ff7f7,TEN,0,1,204.6875,6.044864732827048,33.9375,1.0625,0.9375,0.541874086007226,200.1875,5.360904999822406,37.5,0.75,1.125,0.39271843207439033,1.0
2009,1,2009_01_TEN_PIT,TEN,K.Collins,32013030-2d30-3030-3332-3932713f5047,PIT,0,0,177.0625,5.82695520222326,29.125,0.75,0.5,0.5755970380599927,173.25,4.648128585337716,36.75,1.0,1.1875,0.3680406457416896,1.0
2009,1,2009_01_WAS_NYG,NYG,E.Manning,32013030-2d30-3032-3238-3033cc58aa39,WAS,0,1,189.6875,6.116469286787845,31.25,1.3125,0.6875,0.5580585091660836,193.5625,5.8179255268020595,33.5,1.0,0.8125,0.5300649238787146,1.0
2009,1,2009_01_WAS_NYG,WAS,J.Campbell,32013030-2d30-3032-3334-3630311d0939,NYG,0,0,186.1875,5.562105167911619,34.125,0.8125,0.375,0.42428533435174964,201.8125,5.901979129314353,35.0625,1.0625,1.1875,0.3906752713789574,1.0
2009,2,2009_02_ARI_JAX,ARI,K.Warner,00-0017200,JAX,0,0,275.5,7.032014446325888,38.75,2.0,0.9375,0.5006556671153196,231.75,7.337607200779356,31.8125,1.5625,0.75,0.5570108118302547,2.0
2009,2,2009_02_ARI_JAX,JAX,D.Garrard,00-0021231,ARI,0,1,204.5625,5.837712058842446,35.3125,0.875,0.6875,0.3860092538400775,229.75,6.273536984628187,37.0,2.1875,1.1875,0.44106497166452985,2.0
2009,2,2009_02_BAL_SD,BAL,J.Flacco,32013030-2d30-3032-3631-3538c6a10853,LAC,0,0,179.75,6.203914850868066,29.5,1.0625,0.75,0.5633767084105978,237.25,6.4706577717048654,37.1875,1.25,0.8125,0.49299675441726604,2.0
2009,2,2009_02_BAL_SD,LAC,P.Rivers,32013030-2d30-3032-3239-34322bc30020,BAL,0,1,232.4375,7.0702556861996095,33.625,1.8125,0.75,0.4485355880224484,202.625,5.628240941463828,36.5,1.125,1.5,0.37617103014916264,2.0
2009,2,2009_02_CAR_ATL,ATL,M.Ryan,32013030-2d30-3032-3631-34338634c9b6,CAR,1,1,216.0,7.5796000292624,30.125,1.1875,0.6875,0.602321690749972,208.5,5.601180887360425,37.4375,1.25,0.875,0.4289894932652797,3.0
2009,2,2009_02_CAR_ATL,CAR,J.Delhomme,32013030-2d30-3030-3431-36314534ade6,ATL,1,0,189.625,7.340908230986692,26.5625,0.9375,1.25,0.5200286040934353,222.9375,6.0570908634632366,36.3125,1.25,0.6875,0.34833804062828444,1.0
2009,2,2009_02_CIN_GB,CIN,C.Palmer,32013030-2d30-3032-3134-32391c8963bc,GB,0,0,178.0,4.873544973544974,35.6,0.6,1.2,0.33423872570581137,209.0,6.175810841185598,34.25,1.375,1.5625,0.46211461212263677,3.0
2009,2,2009_02_CIN_GB,GB,A.Rodgers,32013030-2d30-3032-3334-35395dc60da5,CIN,0,1,236.5625,6.485541411713286,36.4375,1.75,0.8125,0.49100440786236316,211.375,6.4384058631506855,33.0625,1.5,0.75,0.5388182050727808,1.0
2009,2,2009_02_CLE_DEN,CLE,B.Quinn,32013030-2d30-3032-3534-3039681cbb21,DEN,0,0,172.0,5.3206376018876025,32.5,0.75,0.75,0.4734273047145734,232.375,7.362289481991767,33.125,1.125,0.5,0.5263178454240846,0.0
2009,2,2009_02_CLE_DEN,DEN,K.Orton,32013030-2d30-3032-3335-34312c37f3ed,CLE,0,1,190.5,5.812388414939169,32.875,1.1875,0.75,0.5678163355209023,189.875,6.526629682299219,28.625,1.1875,1.375,0.5507389788405034,1.0
2009,2,2009_02_HOU_TEN,HOU,M.Schaub,32013030-2d30-3032-3237-3837e8f3d1a2,TEN,0,0,253.41666666666666,6.91097705890692,36.583333333333336,1.25,0.9166666666666666,0.4390204343171755,212.3125,5.504284559092922,38.6875,0.8125,1.125,0.41160600024268046,4.0
2009,2,2009_02_HOU_TEN,TEN,K.Collins,32013030-2d30-3030-3332-3932713f5047,HOU,0,1,184.3125,5.897977929495988,30.0,0.75,0.5625,0.5652452231518197,223.1875,7.121526704507961,31.875,1.4375,0.8125,0.4553923952814154,2.0
2009,2,2009_02_IND_MIA,IND,P.Manning,32013030-2d30-3031-3033-3436e2e70d78,MIA,0,0,248.625,7.4417001782671495,34.8125,1.6875,0.6875,0.5117230238962018,214.0,5.628437179090175,37.625,0.9375,1.125,0.4102367200256794,2.0
